No.,Class,Platform, Assignee ,Link,,,,,
173,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/graduation-project-3v6ak/milk-gujpp,,,,,
174,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/ecosift-h6jkl/hdpe-kobqv,,,,,
175,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/kkk-stgco/gfdsa,,,,,
176,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/trash-classification-mjez0/plastic-hdpe/browse?queryText=&pageSize=200&startingIndex=50&browseQuery=true,,,,,
177,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/waste-ditaction/detecting-hdpe/browse?queryText=&pageSize=200&startingIndex=200&browseQuery=true,,,,,
178,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/waste-detection-gt6wy/hdpe2-htisn,,,,,
179,Plastic Milk Bottles,Roboflow,Hiroki,https://universe.roboflow.com/label700/label_700,,,,,
180,Sandwich,Roboflow,Zhe Wen,https://universe.roboflow.com/microsoft/coco,,,,,
181,Sandwiches,Roboflow,Zhe Wen,https://universe.roboflow.com/giridhar-sunil-j6ept/side_bread,,,,,
182,Sandwiches,Roboflow,Zhe Wen,https://universe.roboflow.com/new-work-yyowo/new-work-project,,,,,
183,Sandwiches,Roboflow,Zhe Wen,https://universe.roboflow.com/fooddetection-jxsts/food-detection-m4maj,,,,,
184,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/shaun-tonna-c10256-mcast-edu-mt/walkers,,,,,
185,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/exalttechnlogies/wadiqana-29r6e,,,,,
186,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/east-west-university/all-chips-packet,,,,,
187,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/kelvin-xjhzs/lays-0dbrq,,,,,
188,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/integralvending/todosprot,,,,,
189,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/skripsi-data/chitato,,,,,
190,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/nbi-mmmdli/cips_paketi,,,,,
191,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/teste-poojt/bombom-dbrjx,,,,,
192,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/kmitl-w022c/candy-nxwd0,,,,,
193,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/sweet/sweet31337,,,,,
194,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/deep-learning-qbyqu/snack-tg49j,,,,,
195,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/label-embedded/embedded-xzmit,,,,,
196,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/roboarm-rczdv/roboarm-xlgmb,,,,,
197,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/humdum/hershey_dark-chocolate,,,,,
198,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/dl-workshop-cwaof/snackers,,,,,
199,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/a-z5z3g/objectdetection-4xbki,,,,,
200,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/orcavision/waste_detection-e0wt9,,,,,
201,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/capstone-jn5lb/demo1-ptf0d,,,,,
202,Soft plastic,Roboflow,Zhe Wen,https://universe.roboflow.com/grnt-leme-rommv/pop-kek,,,,,
